sim,i,j,fonte_i,fonte_j,dia_i,dia_j,titulo_i,titulo_j
0.8970925807952881,355,2843,Folha de S. Paulo,Jornal de Piracicaba,2021-08-26,2021-08-26,Pfizer anuncia parceria com farmacêutica brasileira para fazer vacina da Covid,Vacina da Pfizer contra covid-19 será fabricada no Brasil a partir de 2022
0.9999995231628418,405,1956,Jornal de Jundiaí,Diário da Região/São José do Rio Preto,2022-03-04,2022-03-04,Grupo CCR assina novo contrato de concessão da Dutra e Rio-Santos,Grupo CCR assina novo contrato de concessão da Dutra e Rio-Santos
1.0,430,2140,Valor Econômico,Valor Econômico - Impresso - Flip,2019-02-21,2019-02-21,Sabin compra 17% da rede Amparo,Sabin compra 17% da rede Amparo
0.9999998807907104,445,1438,Valor Econômico - Impresso,Valor Econômico,2017-09-26,2017-09-26,Toyota investe R$ 1 bi para montar novo carro no país,Toyota investe R$ 1 bi para montar novo carro no país
0.986869215965271,456,924,Correio Popular,Guarulhos Web,2021-02-28,2021-02-28,Ford vai fechar 160 concessionárias e terá de brigar pelas lojas que vão restar,Ford vai fechar 160 concessionárias e terá de brigar pelas lojas que vão restar
0.9207452535629272,458,2941,Valor Econômico - Impresso,Valor Econômico,2017-08-03,2018-05-09,"Lucro da Arezzo tem alta de 36,9%",Arrezzo fecha trimestre com bom desempenho e mira expansão global
0.9433865547180176,460,599,Diário do Grande ABC - Impresso - Flip,Diário do Grande ABC,2018-09-02,2018-09-02,CVC Corp investe R$ 100 mi por ano em Santo André,CVC Corp investe R$ 100 mi por ano em Santo André
0.9999997019767761,462,2045,Folha da Região,Araraquara,2016-04-23,2016-04-23,Scania inaugura laboratório e foca mercado externo,Scania inaugura laboratório e foca mercado externo
0.9699891209602356,466,2710,Diário do Grande ABC,Folha da Região,2019-04-09,2019-04-09,Metrô de São Paulo entrega a última estação da Linha 5,Metrô de São Paulo entrega a última estação da Linha 5
1.0,503,2683,Diário da Região/São José do Rio Preto,Guarulhos Web,2016-11-26,2016-11-26,Raia Drogasil aumenta a aposta em baixa renda,Raia Drogasil aumenta a aposta em baixa renda
0.9021350145339966,525,1934,Valor Econômico,DCI Online,2018-07-26,2018-03-01,"Após aquisição de fatia na Celesc, EDP investirá em seus ativos e transmissão",EDP Brasil espera avançar de forma moderada no setor de transmissão
0.9773452281951904,531,806,DCI Online,Diário do Grande ABC,2016-03-03,2016-03-03,Mercedes-Benz confirma inauguração de fábrica de veículos premium no dia 23,Mercedes-Benz confirma inauguração de fábrica de veículos premium no dia 23
0.9999999403953552,542,1052,Guarulhos Web,Correio Popular,2018-09-01,2018-09-01,Mercado Livre vai testar entregas em até um dia,Mercado Livre vai testar entregas em até um dia
0.9025389552116394,554,1871,Diário do Grande ABC - Impresso - Flip,Valor Econômico - Impresso - Flip,2018-09-18,2017-12-26,Rota 2030 deixa ao menos 63 autopeças de fora dos incentivos,Incertezas atormentam montadoras
0.8840760588645935,565,2354,Valor Econômico,Folha de S. Paulo,2024-08-21,2024-08-21,"Magazine Luiza anuncia ?loja conceito? na antiga Livraria Cultura da Avenida Paulista, em SP",Magazine Luiza anuncia megaloja no Conjunto Nacional em antigo espaço da Livraria Cultura
0.8969496488571167,567,757,A Tribuna,A Tribuna,2017-03-31,2017-04-18,Rede de academias Blue Fit inaugura unidade em Santos,Blue Fit chega a Santos e promove aulão de zumba com Gracyanne Barbosa
1.0,581,812,Valor Econômico,Valor Econômico - Impresso,2017-07-13,2017-07-13,"Einstein vai investir R$ 2,5 bi em cinco anos","Einstein vai investir R$ 2,5 bi em cinco anos"
1.0,604,2263,Correio Popular,Correio Popular,2020-08-08,2020-08-08,Policlínica 2 abre para atendimento presencial,Policlínica 2 abre para atendimento presencial
